"filename","DGPid","trueATE","binary","n_covariates"
"low1",17,0.106696525376334,1,10
"low1020",18,0.147047058600875,1,10
"low1005",19,0.120725663548369,1,10
"low101",20,0.156759654487529,1,10
"low2003",21,0.174969387969941,1,22
"low2004",22,0.1585275019832,1,22
"low2001",23,0.195290625734048,1,22
"low2023",24,0.200014840066845,1,22
"low1049",29,4,0,26
"low102",30,10,0,26
"low1030",31,2,0,26
"low1006",32,2.52739040759141,0,26
"low1027",33,0.0995898753689496,1,26
"low1017",34,0.0496296933010442,1,26
"low1003",35,0.122643947648726,1,26
"low1012",36,0.0940840672965854,1,26
"low2041",37,4,0,22
"low2010",38,2.5,0,22
"low2007",39,6.27029602260378,0,22
"low2002",40,6.96198490740555,0,22
"low2009",41,0.106286795757474,1,22
"low2051",42,0.185291711866986,1,22
"low2005",43,0.195466539541223,1,22
"low2006",44,0.08229957,1,22
"low1015",57,0.5,0,31
"low1037",58,1,0,31
"low10",59,-0.8,0,31
"low1066",60,1.6862483115362,0,31
"low1001",61,2,0,29
"low100",62,2,0,29
"low1002",63,-2,0,29
"low1004",64,3.625,0,29
